Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/geoserver/DLM/wms] GetCapabilities KVP 1.3.0,50,116,104,162,172,219,74,219,32.51,0.000%,.34103,63.35,0.06,190211.0
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 0 Image/Format PNG,50,1888,1883,2177,2203,2376,1403,2376,251.14,0.000%,.33693,32.80,0.11,99676.8
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 1 Image/Format PNG,50,2801,2780,3066,3149,3355,2285,3355,220.10,0.000%,.33458,83.23,0.11,254720.3
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 2 Image/Format PNG,50,1341,1326,1500,1568,1674,1049,1674,131.07,0.000%,.33731,84.91,0.11,257759.5
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 3 Image/Format PNG,50,468,461,572,580,650,308,650,76.05,0.000%,.33969,59.08,0.11,178105.4
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 4 Image/Format PNG,50,205,194,292,311,383,96,383,62.07,0.000%,.34066,36.47,0.11,109622.9
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 5 Image/Format PNG,50,112,111,133,141,219,75,219,29.04,0.000%,.34099,19.90,0.11,59772.5
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 6 Image/Format PNG,50,107,93,140,166,329,58,329,51.67,0.000%,.34124,12.19,0.11,36588.3
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 7 Image/Format PNG,50,87,82,123,130,161,51,161,24.29,0.000%,.34115,7.27,0.11,21810.5
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 8 Image/Format PNG,50,79,76,106,112,135,52,135,20.32,0.000%,.34115,4.84,0.11,14518.8
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 9 Image/Format PNG,50,74,72,98,99,140,46,140,17.19,0.000%,.34119,3.41,0.11,10220.4
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 10 Image/Format PNG,50,69,67,88,96,122,41,122,16.42,0.000%,.34107,2.45,0.11,7363.6
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 11 Image/Format PNG,50,77,62,106,115,318,35,318,42.89,0.000%,.34102,1.94,0.11,5838.0
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 12 Image/Format PNG,50,74,68,105,112,171,42,171,26.90,0.000%,.34100,1.83,0.11,5492.7
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 13 Image/Format PNG,50,69,62,92,98,144,38,144,21.67,0.000%,.34087,1.61,0.11,4832.9
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 14 Image/Format PNG,50,69,64,102,103,130,38,130,20.73,0.000%,.34074,1.59,0.11,4770.8
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 0 Image/Format JPG,50,1998,2035,2209,2224,2320,1297,2320,193.06,0.000%,.33565,13.08,0.11,39917.2
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 1 Image/Format JPG,50,2880,2877,3117,3157,3334,2376,3334,196.31,0.000%,.33277,40.14,0.11,123504.5
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 2 Image/Format JPG,50,1296,1236,1553,1624,1806,744,1806,212.18,0.000%,.33760,48.89,0.11,148304.3
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 3 Image/Format JPG,50,479,469,616,636,763,289,763,100.06,0.000%,.34057,42.05,0.11,126446.6
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 4 Image/Format JPG,50,232,230,291,311,380,141,380,48.12,0.000%,.34224,30.14,0.11,90192.0
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 5 Image/Format JPG,50,146,132,195,202,390,87,390,49.82,0.000%,.34253,18.45,0.11,55151.6
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 6 Image/Format JPG,50,110,105,143,161,208,56,208,29.49,0.000%,.34271,10.46,0.11,31240.8
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 7 Image/Format JPG,50,101,95,122,129,327,58,327,37.32,0.000%,.34284,5.31,0.11,15870.3
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 8 Image/Format JPG,50,93,89,124,125,146,49,146,20.42,0.000%,.34295,3.48,0.11,10382.7
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 9 Image/Format JPG,50,93,96,117,127,138,50,138,21.61,0.000%,.34305,2.07,0.11,6168.0
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 10 Image/Format JPG,50,90,87,119,132,182,46,182,25.39,0.000%,.34312,1.34,0.11,4008.1
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 11 Image/Format JPG,50,84,76,119,130,157,37,157,27.84,0.000%,.34327,1.08,0.11,3221.2
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 12 Image/Format JPG,50,85,80,115,118,162,40,162,25.40,0.000%,.34336,0.93,0.11,2787.3
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 13 Image/Format JPG,50,82,71,119,126,163,42,163,26.09,0.000%,.34346,0.84,0.11,2511.2
[/geoserver/DLM/wms] GetMap EPSG:3857 Zoom 14 Image/Format JPG,50,83,84,103,115,144,38,144,20.28,0.000%,.34353,0.81,0.11,2419.0
TOTAL,1550,500,105,1951,2635,3073,35,3355,812.18,0.000%,9.56985,579.86,3.13,62046.1
